,pretty_comp,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
586,NaTe,-1.13171167712,-1.66873805551,-86.9220299411,0.0362303058558,-1499.36967566,482.779418786,-70253.9256475,-2120.7162098,-226260.41473,-40309.4114192,-64516.1716709,-207.998573358,-111126.547528,-32.3645557153,-178075.134296,-15.2342107807,-24317.3669756,-0.979577601374,-11326.8039515,-4.90395613061,-3642.19470019,-839.667282331,-820.434192701,-0.285310080744,-252.390320041,-0.0810777556478,-41.3501248287,-6.35373898929,-3.81414881304,1.74235802322,-1.68706219259,0.700213045442
587,MgPd,-0.799025415367,-1.98260330441,-74.3486113791,-9.4197790276,-1509.19418332,489.075340793,-70269.6447832,-2116.24246547,-226260.12796,-40309.4595472,-64516.1040592,-207.998558469,-111126.431072,-32.3645540079,-178074.697712,-15.2342082291,-24317.3073557,-0.979577437299,-11326.7761825,-4.90395536416,-3649.00619594,-839.585672157,-820.396974965,-0.285309199037,-252.378870802,-0.0810775051159,-41.3488166483,-6.35358874237,-3.80772324685,1.55888553028,-1.69816905594,0.710091980042
588,BePt,-3.12300954052,-0.146974013583,-68.1075714411,-0.314152246653,-1515.13407126,496.301503292,-70290.6662071,-2112.81255149,-226494.042954,-39908.2876382,-64524.4647692,-208.00039964,-111140.831704,-32.3647917619,-178119.723438,-15.2344713725,-24323.4559381,-0.979594358343,-11329.6399788,-4.90403147626,-3643.44023943,-839.683055147,-820.638456984,-0.285314919873,-252.453157584,-0.0810791306346,-41.3638810458,-6.35378434064,-3.81322240855,1.75399970614,-1.85809381094,0.852336117297
589,PrSi,1.72458023733,-2.23392287073,-51.2563609335,-6.73088987412,-1512.81313516,492.112642094,-70274.4565097,-2113.82788518,-226266.834496,-40305.4987646,-64516.5671635,-207.998660452,-111127.228731,-32.3645668132,-178082.770801,-15.2342554106,-24318.4097955,-0.979580471239,-11327.2896614,-4.90396902812,-3642.37288223,-839.669538729,-820.463413997,-0.285310773012,-252.399309344,-0.0810779523526,-41.3521706484,-6.35364918799,-3.80770373105,1.58114826021,-1.74391501391,0.750780454599
590,GdIr,0.172596129213,-1.60211639693,-68.4682524586,-18.1340076451,-1513.73606346,494.846208325,-70278.4568743,-2113.57961224,-226270.885309,-40307.2336966,-64518.4742908,-207.999080434,-111130.513601,-32.3646216446,-178081.827076,-15.2342498952,-24318.2809236,-0.979580116581,-11327.2296368,-4.90396744228,-3642.37863433,-839.669611571,-820.4643573,-0.28531079536,-252.399599526,-0.0810779586795,-41.3530194857,-6.35364226491,-3.80900273469,1.60580275245,-1.73640853182,0.744103858036
591,MnP,-2.95463813161,-0.66810711661,-55.4410332731,33.259315484,-1499.86369453,479.764271396,-70254.9417554,-2121.53504211,-226239.438386,-40312.9318471,-64511.2265416,-207.997484356,-111118.029952,-32.3644144003,-178066.345325,-15.2341594154,-24316.1667803,-0.979574298408,-11326.2449427,-4.9039412046,-3641.9217587,-839.663825952,-820.389431282,-0.285309020323,-252.376550153,-0.0810774543406,-41.4239161636,-6.15932773744,-3.65704587318,1.78799782833,-1.72389393645,0.73297282444
592,LaRh,0.560710992814,-2.06359956572,-68.3843021257,-19.8544262363,-1511.77312301,491.747055475,-70264.179535,-2114.643007,-226451.849235,-39814.3050097,-64501.4532798,-207.995332116,-111101.196316,-32.3641364194,-178035.567539,-15.2339795411,-24311.9638536,-0.979562731855,-11324.2873655,-4.90388917634,-3641.07391484,-839.653089329,-820.250387831,-0.28530572631,-252.333776406,-0.08107651835,-41.3394200032,-6.35357591429,-3.81225240713,1.64848447356,-1.60889076304,0.630683924981
593,CaBi,1.76449908154,-2.98804046249,-42.5867828187,17.5725274883,-1517.87670958,498.944278603,-70295.6378221,-2111.32064906,-226490.677066,-39903.0928212,-64522.9267214,-208.000060936,-111138.182544,-32.3647479824,-178110.141544,-15.2344153731,-24322.1474626,-0.979590757388,-11329.0305363,-4.90401530612,-3649.09016366,-834.99004388,-820.591774149,-0.285313813932,-252.438796627,-0.0810788164099,-41.3607579663,-6.35375066596,-3.81142295109,1.69412456695,-1.82574583571,0.823564400075
594,AlP,-1.86925079441,-2.3951269929,-69.9590690511,17.7498032896,-1462.70249589,447.882049183,-68864.5927164,-1996.27973773,-221565.645942,-41066.8451433,-63397.3707872,-207.752194226,-109199.505517,-32.332716181,-174822.773746,-15.2152030444,-23873.2340982,-0.978355337183,-11119.9423122,-4.89845575259,-3550.63154704,-838.507777532,-805.41814928,-0.284954342755,-247.770954877,-0.0809766742173,-40.408785401,-6.34445731239,-3.76154536127,-0.295059368905,-0.215884661857,-0.608317198148
595,SnCl,-1.32075383666,-3.83602756329,-103.468825592,-22.6663257305,-1518.22070071,499.226074163,-70293.2782544,-2117.70242895,-226309.699597,-40301.1400148,-64527.7904679,-208.001132016,-111146.559946,-32.3648864585,-178106.674991,-15.2343951136,-24321.6740816,-0.979589454632,-11328.8100516,-4.90400943073,-3643.05526217,-839.678180009,-820.575321956,-0.285313424171,-252.433735443,-0.0810787056537,-41.359942237,-6.35373281864,-3.81169219749,1.70025794528,-1.81396638929,0.813087240399
