,element,group_id,act_layer_1_0,act_layer_1_1,act_layer_2_0,act_layer_2_1,act_layer_3_0,act_layer_3_1,act_layer_4_0,act_layer_4_1,act_layer_5_0,act_layer_5_1,act_layer_6_0,act_layer_6_1,act_layer_7_0,act_layer_7_1,act_layer_8_0,act_layer_8_1,act_layer_9_0,act_layer_9_1,act_layer_10_0,act_layer_10_1,act_layer_11_0,act_layer_11_1,act_layer_12_0,act_layer_12_1,act_layer_13_0,act_layer_13_1,act_layer_14_0,act_layer_14_1,act_layer_15_0,act_layer_15_1,act_layer_16_0,act_layer_16_1
18,Ti,4,0.704265196918,0.465003059755,32.1392263992,97.4318714596,-284.733320839,-35.4431915633,-37205.1833026,-2336.28568623,-31493.7627591,-20666.631773,-7691.21655061,-2.31209413132,-13249.0459934,-7.53120392584,-22100.3155627,-12.3395590391,-3017.90425932,-12.7307014911,-1411.07522942,-48.4705405956,-105.172752365,-354.793975985,-101.662369211,-0.0274640493561,-31.2742136043,-0.0432080721063,-5.24401167763,-0.755833531651,-0.36306113023,-0.824080958532,-0.75190689501,-0.175164024425
19,V,5,-2.22156649489,3.55660650144,126.656813976,58.0862185839,-235.684334119,-109.662539799,-25416.4180272,-1713.34724388,57996.0015725,-1840.63932621,17402.4865685,-1.76999130468,29972.7814911,-5.76972245031,44357.6882847,-9.54132968198,6057.40680471,-9.84335169587,2815.87759578,-38.7183633372,1749.8775306,-279.062885936,202.788680531,-0.0212547145349,62.383654544,-0.0334390945031,13.5870563797,-0.594794350375,1.11128343883,-0.797590485008,-1.20351252104,0.182428549992
20,Cr,6,-3.2380209952,3.53227963345,220.131515727,51.7608088309,-175.116606072,388.95000324,-41281.7215652,-2196.56073695,-38307.2886002,-14086.7189376,-10192.676511,-2.36613352554,-17557.6039011,-7.70677480521,-29129.9268846,-12.6355424215,-3977.84732596,-13.0361115643,-1858.18218363,-49.5020653762,-302.243731934,-362.83925661,-134.005676699,-0.0281236970256,-41.2239423669,-0.044245885042,-7.37393747869,-0.774048191921,-0.553726170874,-0.763978320373,-0.609230907626,-0.271460967072
21,Mn,7,-3.83507578089,1.8343636285,112.683658316,-37.4953735164,-278.751852967,12.7202092739,-46024.7752623,-4563.74776072,-60569.7259023,2621.70246282,-17860.6730912,-2.53178634294,-30765.0937337,-8.24505767174,-49363.4473744,-13.4874794006,-6740.87770367,-13.9151817294,-3145.10223822,-52.4711481279,-1115.05971467,-276.958102055,-226.666195326,-0.0300135252438,-69.7289713835,-0.0472190922386,-13.1408287419,-0.823365386501,-1.10574604134,-0.232483926555,0.123262433308,-0.231693909487
22,Fe,8,-4.68152062346,2.27128194021,201.052336717,-58.1017184778,-190.009735262,242.511265303,-46293.7674758,-4234.80546926,-61194.0637408,2791.92162125,-18044.2517044,-2.53575221776,-31081.2927123,-8.25794430487,-49752.2618272,-13.5038505215,-6793.97315997,-13.9320742804,-3169.83219199,-52.5282009914,-879.582409079,-386.408691762,-228.75856822,-0.0300561995715,-70.3726456005,-0.0472862308032,-13.2710514144,-0.824479022355,-1.11354829806,-0.201920749123,0.153314986207,-0.225941265775
23,Co,8,-5.66825768512,0.401073642278,129.095776952,-88.8900427743,-147.522135683,264.639160308,-45378.8752791,-3531.37429304,-60220.5778027,-1152.9714487,-17369.957271,-2.5211853395,-29919.8762969,-8.21061331229,-47596.228626,-13.4130702535,-6499.55154401,-13.8384027592,-3032.7011723,-52.2118260529,-818.227730216,-383.903931243,-218.689030105,-0.0298508295006,-67.2749671175,-0.0469631283428,-15.6651252029,1.46810212734,-1.06622507815,-0.365511872003,-0.017628083121,-0.263504480932
24,Ni,8,-4.92647320267,-0.723009009348,63.6546539084,-77.9363580834,-293.966673422,-171.441825925,-45807.0245316,-4412.62314309,-57385.3436424,6468.5228025,-17098.7617144,-2.51532666344,-29452.764403,-8.19156663876,-47256.56847,-13.3987687854,-6453.16848972,-13.8236457882,-3011.09765194,-52.1619817249,-809.724446616,-383.556790822,-217.293472702,-0.0298223668523,-66.845653772,-0.0469183488633,-15.6567885475,1.52383562412,-1.06167391227,-0.384823287602,-0.0360802699338,-0.267186837515
25,Cu,11,-4.9377970531,-0.210384631495,71.3078142499,-63.9737274136,-274.274306847,184.600305517,-44592.7861227,-3336.50327518,-53971.3556336,3132.17831602,-16005.9367635,-2.49171821106,-27570.463815,-8.11485205931,-44584.984488,-13.2862811347,-6088.34477772,-13.7075755331,-2841.17588637,-51.7699532893,-733.298567514,-380.436759421,-204.750446734,-0.0295665495444,-62.9870592502,-0.0465158822137,-15.6687855173,-0.691922948803,-0.969784352526,-0.585724543838,-0.279915430243,-0.184777992693
26,Zn,12,-4.01576665097,-0.561504047428,74.1405494234,-29.3940992167,-340.482787036,-108.184720636,-47701.8384837,-5944.04611572,-65691.3764514,4676.83492974,-19390.9975537,-2.5648461593,-33400.9510197,-8.3524843489,-53192.994246,-13.648723342,-7263.82952046,-14.0815611307,-3388.67433718,-53.0331019821,-1114.63272703,-286.694934367,-244.42589419,-0.030375737549,-75.1923635604,-0.0477889545456,-14.235646368,-0.832728027729,-1.18434778182,0.127686008389,0.453746990413,-0.168432731127
27,Ga,13,-3.6979538706,-2.72337963602,39.8590580206,-71.8369324625,-368.57238069,-406.106731227,-47003.4899141,-5182.59674363,-63283.6951114,3361.63768101,-18658.6809035,-2.54902581887,-32139.5961792,-8.30108593999,-51226.6202243,-13.5659287169,-6995.30719519,-13.9961295818,-3263.60632853,-52.7445511428,-920.140667238,-388.064453403,-235.414991787,-0.0301919585471,-72.4203516551,-0.0474998169359,-15.666298445,0.720936585007,-1.12550148637,-0.10994739907,0.224524003045,-0.213588188984
